pop_num,referenced_dataset,obj0,ananlytics_ob0,local_id
0,common_dataset,-0.136297,[-0.13657666174373587],bfe1e7a6-ddb4-4eee-81f7-fb3c709bd56c
0,common_dataset,-0.112138,[-0.11224758192239023],83cff9e9-b2e6-44b4-926b-93f5e2ecb80c
0,common_dataset,-0.120682,[-0.12086215976880435],6bd8fe20-c2ec-4068-ba20-47e4ff0f69d6
0,common_dataset,-0.128363,[-0.1284331574447018],730fb306-10ad-4ef1-8f7c-6a9655529b4c
0,common_dataset,-0.120966,[-0.12128585932224605],91117638-b6b8-410f-a67b-363d9d08c42a
0,common_dataset,-0.120707,[-0.12100749294196174],788fdc0e-d72b-4dfc-93c6-e28a453e7674
0,common_dataset,-0.128929,[-0.12898924643708357],3e384faf-69d5-4cbc-a103-6e4efa300525
0,common_dataset,-0.132279,[-0.1324989730455087],cc578d39-07c2-4077-b56e-d3f8d135e29a
0,common_dataset,-0.182946,[-0.1831756288684302],33d2b666-26a0-4bbf-a2fc-c57ae36fe029
0,common_dataset,-0.113827,[-0.1139966049588086],d34e8d43-001e-433e-8803-015e4910c691
0,common_dataset,-0.144669,[-0.1449091331475849],6b1cb389-de17-42ca-8abb-0c128729fd3b
0,common_dataset,-0.136804,[-0.13709448433565913],3c055b07-dae3-4768-8e81-b39ab0f170ca
0,common_dataset,-0.110873,[-0.11110328922569009],3f5342e1-deda-460d-b8fa-4877dc882360
0,common_dataset,-0.117855,[-0.11807474515769455],7e5413fc-b1e3-4c9f-959f-7916a2e642da
0,common_dataset,-0.106908,[-0.10704790153410348],e73459a2-6268-4f20-9023-79789b170fc5
0,common_dataset,-0.129377,[-0.12949697671247312],706096cf-d822-4305-a191-b6874650d7c4
0,common_dataset,-0.116827,[-0.11713714684258145],4166b5dc-2c10-41c8-b795-c5f17a11216a
0,common_dataset,-0.115276,[-0.11549601791148352],e62dd909-08ed-408f-9ead-a00198879aea
0,common_dataset,-0.13214,[-0.13228965596054293],f53d494c-1d26-42e4-accf-1fde5960e85f
0,common_dataset,-0.16505,[-0.1653099610697022],1c799cb1-0e3b-4079-bd33-c132e6a8a6b7
0,common_dataset,-0.13417,[-0.1344595168408444],a12d3f30-e999-4731-b533-e3ac67e0103f
0,common_dataset,-0.13305,[-0.13318023635555742],f0470858-aa57-4dea-8b10-318ef262e253
